article_name,country,region,revision_id,article_quality,population
Monh Saphan,Cambodia,ASIA,726543284.0,Stub,15.497
Uk Rabun,Cambodia,ASIA,726543336.0,Stub,15.497
Ay Khorn,Cambodia,ASIA,726543872.0,Stub,15.497
Oung Ouen,Cambodia,ASIA,726688556.0,Stub,15.497
List of Deputy Prime Ministers of Cambodia,Cambodia,ASIA,730617957.0,Stub,15.497
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,ASIA,732331264.0,Stub,15.497
Chuop Hell,Cambodia,ASIA,735512767.0,Stub,15.497
Kong Korm,Cambodia,ASIA,736093077.0,Stub,15.497
Chan Nak,Cambodia,ASIA,736538934.0,Stub,15.497
Huy Kanthoul,Cambodia,ASIA,736539294.0,Stub,15.497
Vorn Vet,Cambodia,ASIA,736715950.0,Stub,15.497
Yat Hwaidi,Cambodia,ASIA,737025619.0,Stub,15.497
Khim Tit,Cambodia,ASIA,737804996.0,Stub,15.497
Son Chhay,Cambodia,ASIA,738180794.0,Start,15.497
Kep Chuktema,Cambodia,ASIA,738478052.0,Start,15.497
Nuth Rumduol,Cambodia,ASIA,738512371.0,Stub,15.497
Khieu Thavika,Cambodia,ASIA,738804016.0,Stub,15.497
Norodom Phurissara,Cambodia,ASIA,738987957.0,Start,15.497
Daran Kravanh,Cambodia,ASIA,738989624.0,Stub,15.497
Sisowath Monireth,Cambodia,ASIA,738992094.0,Start,15.497
Sisowath Youtevong,Cambodia,ASIA,738992441.0,Stub,15.497
Ou Chanrith,Cambodia,ASIA,739217591.0,Stub,15.497
Yem Ponhearith,Cambodia,ASIA,741680078.0,Stub,15.497
Chrea Sochenda,Cambodia,ASIA,741923960.0,Stub,15.497
Vong Kan,Cambodia,ASIA,742006559.0,Stub,15.497
Yos Son,Cambodia,ASIA,742067282.0,Stub,15.497
Hun Many,Cambodia,ASIA,744291790.0,Stub,15.497
Chhean Vam,Cambodia,ASIA,747052284.0,Stub,15.497
Oum Chheang Sun,Cambodia,ASIA,747052769.0,Stub,15.497
Norodom Kantol,Cambodia,ASIA,747053219.0,Stub,15.497
Khieu Rada,Cambodia,ASIA,747555899.0,Start,15.497
Ieu Koeus,Cambodia,ASIA,747628491.0,Stub,15.497
Cheng Heng,Cambodia,ASIA,747784875.0,Start,15.497
Mok Mareth,Cambodia,ASIA,747945224.0,Start,15.497
Kieng Vang,Cambodia,ASIA,748137241.0,Stub,15.497
Sisowath Watchayavong,Cambodia,ASIA,748488170.0,Stub,15.497
Sokhom So,Cambodia,ASIA,749156496.0,Stub,15.497
Min Sean,Cambodia,ASIA,749304614.0,Stub,15.497
Y Chhean,Cambodia,ASIA,749338398.0,Stub,15.497
Poa Bun Sreu,Cambodia,ASIA,749357713.0,Stub,15.497
Toan Vanthara,Cambodia,ASIA,749387326.0,Stub,15.497
Sok Soty,Cambodia,ASIA,749388858.0,Stub,15.497
Pal Sam Oeun,Cambodia,ASIA,749396845.0,Stub,15.497
Ngor Sovann,Cambodia,ASIA,749470256.0,Stub,15.497
Kea Sahorn,Cambodia,ASIA,749510551.0,Stub,15.497
Suos Kanan,Cambodia,ASIA,749517390.0,Stub,15.497
Im Chhun Lim,Cambodia,ASIA,749537624.0,Stub,15.497
Tram Iv Teuk,Cambodia,ASIA,749537772.0,Stub,15.497
Hem Khorn,Cambodia,ASIA,749561164.0,Stub,15.497
Um Nhanh,Cambodia,ASIA,749569686.0,Stub,15.497
Poa Try,Cambodia,ASIA,749570183.0,Stub,15.497
Yim Chhaily,Cambodia,ASIA,749683882.0,Stub,15.497
Ith Prang,Cambodia,ASIA,749704384.0,Stub,15.497
Try Chheang Huot,Cambodia,ASIA,749710492.0,Stub,15.497
Suk Sam Eng,Cambodia,ASIA,749945690.0,Stub,15.497
Nim Thot,Cambodia,ASIA,749967879.0,Stub,15.497
Ngin Khorn,Cambodia,ASIA,749970189.0,Stub,15.497
Sorn Inthor,Cambodia,ASIA,749977252.0,Stub,15.497
You Hockry,Cambodia,ASIA,750055098.0,Stub,15.497
Samrith Pech,Cambodia,ASIA,750074445.0,Stub,15.497
Un Neung,Cambodia,ASIA,750077042.0,Stub,15.497
Bou Thang,Cambodia,ASIA,750179637.0,Stub,15.497
Peter Khoy Saukam,Cambodia,ASIA,751227068.0,Start,15.497
Tuot Saron,Cambodia,ASIA,752967379.0,Start,15.497
Phoeurng Sackona,Cambodia,ASIA,752979708.0,Stub,15.497
Nhek Bun Chhay,Cambodia,ASIA,753086260.0,Stub,15.497
Cheam Yeab,Cambodia,ASIA,753684881.0,Stub,15.497
Chea Poch,Cambodia,ASIA,753689952.0,Stub,15.497
Chin Bun Sean,Cambodia,ASIA,753692176.0,Stub,15.497
Chhim Siek Leng,Cambodia,ASIA,753695057.0,Stub,15.497
Chea Soth,Cambodia,ASIA,753711610.0,Stub,15.497
Ke Pauk,Cambodia,ASIA,754318281.0,Stub,15.497
Kong Sam Ol,Cambodia,ASIA,754944744.0,Stub,15.497
Pho Proeung,Cambodia,ASIA,755504987.0,Stub,15.497
San Yun,Cambodia,ASIA,756129985.0,Stub,15.497
Tiv Ol,Cambodia,ASIA,756722795.0,Start,15.497
Son Ngoc Thanh,Cambodia,ASIA,758665997.0,C,15.497
Monovithya Kem,Cambodia,ASIA,759510662.0,Stub,15.497
Mom Chim Huy,Cambodia,ASIA,761412104.0,Stub,15.497
Norodom Norindeth,Cambodia,ASIA,761941416.0,Start,15.497
Hem Heng,Cambodia,ASIA,763098565.0,Start,15.497
Chum Bunrong,Cambodia,ASIA,763098588.0,Stub,15.497
Duong Vanna,Cambodia,ASIA,763316692.0,Stub,15.497
Chhay Tan,Cambodia,ASIA,763968613.0,Stub,15.497
Keat Chhon,Cambodia,ASIA,765244120.0,Stub,15.497
Ang Vong Vathana,Cambodia,ASIA,765375452.0,Stub,15.497
Keo Remy,Cambodia,ASIA,766576352.0,Stub,15.497
Sun Chanthol,Cambodia,ASIA,766834612.0,Start,15.497
Khieu Kanharith,Cambodia,ASIA,766836319.0,Stub,15.497
Chay Saing Yun,Cambodia,ASIA,767217618.0,Stub,15.497
Ek Sam Ol,Cambodia,ASIA,767218020.0,Stub,15.497
Ouk Rabun,Cambodia,ASIA,767867369.0,Stub,15.497
Hun Phoeung,Cambodia,ASIA,768488633.0,Stub,15.497
